# Running gravitational simulaition with N = 9 bodies
#  m_1 = 1.9885e+30  m_2 = 3.28471e+23  m_3 = 4.86734e+24  m_4 = 5.9722e+24  m_5 = 5.9722e+23  m_6 = 1.89916e+27  m_7 = 5.67359e+26  m_8 = 8.36108e+25  m_9 = 1.01527e+26
# t  x_1  y_1  x_2  y_2  x_3  y_3  x_4  y_4  x_5  y_5  x_6  y_6  x_7  y_7  x_8  y_8  x_9  y_9
 0.00000e+00 -1.48783e-03  1.37382e-04 -1.51873e-03 -3.99958e-01 -5.67831e-01  4.11492e-01 -3.10536e-01 -9.51014e-01 -1.42810e+00  4.63568e-01  4.20537e+00  3.05653e+00 -7.68718e+00 -5.58392e+00 -1.92015e+01  4.22781e-05  9.29989e+00 -2.86268e+01 
 1.00000e-03 -1.48668e-03  1.35786e-04  8.48058e-03 -3.99836e-01 -5.72137e-01  4.05494e-01 -3.04570e-01 -9.52933e-01 -1.42966e+00  4.58748e-01  4.20375e+00  3.05876e+00 -7.68598e+00 -5.58557e+00 -1.92015e+01 -1.39380e-03  9.30098e+00 -2.86264e+01 
 2.00000e-03 -1.48554e-03  1.34190e-04  1.84737e-02 -3.99468e-01 -5.76377e-01  3.99448e-01 -2.98592e-01 -9.54814e-01 -1.43120e+00  4.53924e-01  4.20212e+00  3.06099e+00 -7.68477e+00 -5.58723e+00 -1.92015e+01 -2.82988e-03  9.30207e+00 -2.86261e+01 
 3.00000e-03 -1.48440e-03  1.32595e-04  2.84546e-02 -3.98853e-01 -5.80551e-01  3.93357e-01 -2.92602e-01 -9.56658e-01 -1.43272e+00  4.49094e-01  4.20049e+00  3.06322e+00 -7.68357e+00 -5.58889e+00 -1.92015e+01 -4.26596e-03  9.30316e+00 -2.86257e+01 
 4.00000e-03 -1.48325e-03  1.31001e-04  3.84170e-02 -3.97993e-01 -5.84659e-01  3.87221e-01 -2.86601e-01 -9.58464e-01 -1.43422e+00  4.44258e-01  4.19887e+00  3.06546e+00 -7.68236e+00 -5.59054e+00 -1.92015e+01 -5.70204e-03  9.30425e+00 -2.86253e+01 
 5.00000e-03 -1.48210e-03  1.29408e-04  4.83549e-02 -3.96887e-01 -5.88699e-01  3.81040e-01 -2.80589e-01 -9.60232e-01 -1.43571e+00  4.39418e-01  4.19724e+00  3.06769e+00 -7.68116e+00 -5.59220e+00 -1.92015e+01 -7.13812e-03  9.30535e+00 -2.86250e+01 
 6.00000e-03 -1.48096e-03  1.27815e-04  5.82620e-02 -3.95537e-01 -5.92672e-01  3.74815e-01 -2.74566e-01 -9.61962e-01 -1.43718e+00  4.34572e-01  4.19561e+00  3.06991e+00 -7.67995e+00 -5.59386e+00 -1.92015e+01 -8.57420e-03  9.30644e+00 -2.86246e+01 
 7.00000e-03 -1.47981e-03  1.26223e-04  6.81323e-02 -3.93942e-01 -5.96576e-01  3.68548e-01 -2.68532e-01 -9.63654e-01 -1.43864e+00  4.29721e-01  4.19398e+00  3.07214e+00 -7.67874e+00 -5.59551e+00 -1.92015e+01 -1.00103e-02  9.30753e+00 -2.86243e+01 
 8.00000e-03 -1.47866e-03  1.24631e-04  7.79597e-02 -3.92105e-01 -6.00412e-01  3.62237e-01 -2.62487e-01 -9.65308e-01 -1.44007e+00  4.24866e-01  4.19235e+00  3.07437e+00 -7.67754e+00 -5.59717e+00 -1.92015e+01 -1.14464e-02  9.30862e+00 -2.86239e+01 
 9.00000e-03 -1.47751e-03  1.23041e-04  8.77382e-02 -3.90027e-01 -6.04180e-01  3.55885e-01 -2.56432e-01 -9.66924e-01 -1.44150e+00  4.20005e-01  4.19071e+00  3.07660e+00 -7.67633e+00 -5.59882e+00 -1.92015e+01 -1.28824e-02  9.30971e+00 -2.86236e+01 
 1.00000e-02 -1.47636e-03  1.21451e-04  9.74618e-02 -3.87708e-01 -6.07877e-01  3.49492e-01 -2.50367e-01 -9.68502e-01 -1.44290e+00  4.15139e-01  4.18908e+00  3.07882e+00 -7.67512e+00 -5.60048e+00 -1.92015e+01 -1.43185e-02  9.31080e+00 -2.86232e+01 
 1.10000e-02 -1.47521e-03  1.19861e-04  1.07124e-01 -3.85150e-01 -6.11505e-01  3.43059e-01 -2.44292e-01 -9.70042e-01 -1.44429e+00  4.10269e-01  4.18744e+00  3.08105e+00 -7.67392e+00 -5.60213e+00 -1.92015e+01 -1.57546e-02  9.31189e+00 -2.86229e+01 
 1.20000e-02 -1.47406e-03  1.18273e-04  1.16720e-01 -3.82356e-01 -6.15063e-01  3.36586e-01 -2.38208e-01 -9.71543e-01 -1.44566e+00  4.05394e-01  4.18581e+00  3.08327e+00 -7.67271e+00 -5.60378e+00 -1.92015e+01 -1.71907e-02  9.31298e+00 -2.86225e+01 
 1.30000e-02 -1.47290e-03  1.16685e-04  1.26243e-01 -3.79325e-01 -6.18550e-01  3.30075e-01 -2.32114e-01 -9.73006e-01 -1.44701e+00  4.00514e-01  4.18417e+00  3.08550e+00 -7.67150e+00 -5.60544e+00 -1.92015e+01 -1.86268e-02  9.31407e+00 -2.86222e+01 
 1.40000e-02 -1.47175e-03  1.15098e-04  1.35688e-01 -3.76062e-01 -6.21966e-01  3.23526e-01 -2.26011e-01 -9.74430e-01 -1.44835e+00  3.95629e-01  4.18253e+00  3.08772e+00 -7.67029e+00 -5.60709e+00 -1.92015e+01 -2.00628e-02  9.31516e+00 -2.86218e+01 
 1.50000e-02 -1.47060e-03  1.13511e-04  1.45048e-01 -3.72567e-01 -6.25310e-01  3.16939e-01 -2.19900e-01 -9.75816e-01 -1.44967e+00  3.90740e-01  4.18089e+00  3.08994e+00 -7.66908e+00 -5.60874e+00 -1.92015e+01 -2.14989e-02  9.31625e+00 -2.86215e+01 
 1.60000e-02 -1.46944e-03  1.11925e-04  1.54318e-01 -3.68843e-01 -6.28583e-01  3.10315e-01 -2.13779e-01 -9.77164e-01 -1.45097e+00  3.85846e-01  4.17925e+00  3.09216e+00 -7.66787e+00 -5.61040e+00 -1.92015e+01 -2.29350e-02  9.31734e+00 -2.86211e+01 
 1.70000e-02 -1.46828e-03  1.10340e-04  1.63492e-01 -3.64892e-01 -6.31783e-01  3.03656e-01 -2.07650e-01 -9.78473e-01 -1.45225e+00  3.80947e-01  4.17761e+00  3.09438e+00 -7.66666e+00 -5.61205e+00 -1.92015e+01 -2.43711e-02  9.31843e+00 -2.86208e+01 
 1.80000e-02 -1.46713e-03  1.08756e-04  1.72565e-01 -3.60717e-01 -6.34910e-01  2.96962e-01 -2.01514e-01 -9.79743e-01 -1.45352e+00  3.76044e-01  4.17596e+00  3.09660e+00 -7.66545e+00 -5.61370e+00 -1.92015e+01 -2.58072e-02  9.31952e+00 -2.86204e+01 
 1.90000e-02 -1.46597e-03  1.07172e-04  1.81532e-01 -3.56321e-01 -6.37965e-01  2.90234e-01 -1.95369e-01 -9.80975e-01 -1.45478e+00  3.71137e-01  4.17432e+00  3.09882e+00 -7.66424e+00 -5.61535e+00 -1.92015e+01 -2.72432e-02  9.32061e+00 -2.86201e+01 
 2.00000e-02 -1.46481e-03  1.05589e-04  1.90385e-01 -3.51706e-01 -6.40946e-01  2.83473e-01 -1.89216e-01 -9.82168e-01 -1.45601e+00  3.66226e-01  4.17267e+00  3.10104e+00 -7.66303e+00 -5.61701e+00 -1.92015e+01 -2.86793e-02  9.32170e+00 -2.86197e+01 
 2.10000e-02 -1.46365e-03  1.04006e-04  1.99122e-01 -3.46875e-01 -6.43853e-01  2.76678e-01 -1.83057e-01 -9.83322e-01 -1.45723e+00  3.61310e-01  4.17102e+00  3.10325e+00 -7.66182e+00 -5.61866e+00 -1.92015e+01 -3.01154e-02  9.32279e+00 -2.86193e+01 
 2.20000e-02 -1.46249e-03  1.02425e-04  2.07735e-01 -3.41831e-01 -6.46686e-01  2.69852e-01 -1.76890e-01 -9.84437e-01 -1.45843e+00  3.56390e-01  4.16937e+00  3.10547e+00 -7.66061e+00 -5.62031e+00 -1.92015e+01 -3.15515e-02  9.32388e+00 -2.86190e+01 
 2.30000e-02 -1.46133e-03  1.00844e-04  2.16220e-01 -3.36577e-01 -6.49445e-01  2.62994e-01 -1.70716e-01 -9.85514e-01 -1.45961e+00  3.51465e-01  4.16772e+00  3.10768e+00 -7.65940e+00 -5.62196e+00 -1.92015e+01 -3.29875e-02  9.32497e+00 -2.86186e+01 
 2.40000e-02 -1.46017e-03  9.92632e-05  2.24571e-01 -3.31118e-01 -6.52129e-01  2.56107e-01 -1.64535e-01 -9.86552e-01 -1.46078e+00  3.46537e-01  4.16607e+00  3.10990e+00 -7.65818e+00 -5.62361e+00 -1.92015e+01 -3.44236e-02  9.32606e+00 -2.86183e+01 
 2.50000e-02 -1.45901e-03  9.76836e-05  2.32784e-01 -3.25455e-01 -6.54737e-01  2.49189e-01 -1.58348e-01 -9.87550e-01 -1.46193e+00  3.41604e-01  4.16442e+00  3.11211e+00 -7.65697e+00 -5.62526e+00 -1.92015e+01 -3.58597e-02  9.32715e+00 -2.86179e+01 
 2.60000e-02 -1.45784e-03  9.61046e-05  2.40854e-01 -3.19593e-01 -6.57270e-01  2.42243e-01 -1.52155e-01 -9.88510e-01 -1.46306e+00  3.36668e-01  4.16277e+00  3.11432e+00 -7.65576e+00 -5.62691e+00 -1.92015e+01 -3.72958e-02  9.32824e+00 -2.86176e+01 
 2.70000e-02 -1.45668e-03  9.45262e-05  2.48776e-01 -3.13536e-01 -6.59728e-01  2.35269e-01 -1.45956e-01 -9.89430e-01 -1.46418e+00  3.31728e-01  4.16111e+00  3.11653e+00 -7.65455e+00 -5.62856e+00 -1.92014e+01 -3.87319e-02  9.32933e+00 -2.86172e+01 
 2.80000e-02 -1.45551e-03  9.29486e-05  2.56545e-01 -3.07287e-01 -6.62109e-01  2.28268e-01 -1.39751e-01 -9.90312e-01 -1.46527e+00  3.26783e-01  4.15946e+00  3.11874e+00 -7.65333e+00 -5.63021e+00 -1.92014e+01 -4.01679e-02  9.33042e+00 -2.86169e+01 
 2.90000e-02 -1.45435e-03  9.13717e-05  2.64156e-01 -3.00851e-01 -6.64414e-01  2.21240e-01 -1.33540e-01 -9.91154e-01 -1.46635e+00  3.21835e-01  4.15780e+00  3.12095e+00 -7.65212e+00 -5.63186e+00 -1.92014e+01 -4.16040e-02  9.33151e+00 -2.86165e+01 
 3.00000e-02 -1.45318e-03  8.97954e-05  2.71605e-01 -2.94230e-01 -6.66643e-01  2.14187e-01 -1.27325e-01 -9.91958e-01 -1.46742e+00  3.16883e-01  4.15614e+00  3.12316e+00 -7.65090e+00 -5.63351e+00 -1.92014e+01 -4.30401e-02  9.33260e+00 -2.86162e+01 
 3.10000e-02 -1.45201e-03  8.82198e-05  2.78887e-01 -2.87430e-01 -6.68794e-01  2.07109e-01 -1.21104e-01 -9.92722e-01 -1.46847e+00  3.11928e-01  4.15449e+00  3.12537e+00 -7.64969e+00 -5.63516e+00 -1.92014e+01 -4.44762e-02  9.33369e+00 -2.86158e+01 
 3.20000e-02 -1.45084e-03  8.66448e-05  2.85999e-01 -2.80455e-01 -6.70868e-01  2.00007e-01 -1.14879e-01 -9.93447e-01 -1.46949e+00  3.06969e-01  4.15283e+00  3.12757e+00 -7.64847e+00 -5.63681e+00 -1.92014e+01 -4.59122e-02  9.33478e+00 -2.86155e+01 
 3.30000e-02 -1.44967e-03  8.50706e-05  2.92935e-01 -2.73309e-01 -6.72865e-01  1.92881e-01 -1.08649e-01 -9.94133e-01 -1.47051e+00  3.02006e-01  4.15116e+00  3.12978e+00 -7.64726e+00 -5.63846e+00 -1.92014e+01 -4.73483e-02  9.33587e+00 -2.86151e+01 
 3.40000e-02 -1.44850e-03  8.34970e-05  2.99692e-01 -2.65997e-01 -6.74783e-01  1.85734e-01 -1.02415e-01 -9.94779e-01 -1.47150e+00  2.97040e-01  4.14950e+00  3.13199e+00 -7.64604e+00 -5.64011e+00 -1.92014e+01 -4.87844e-02  9.33696e+00 -2.86148e+01 
 3.50000e-02 -1.44733e-03  8.19241e-05  3.06266e-01 -2.58522e-01 -6.76624e-01  1.78565e-01 -9.61774e-02 -9.95386e-01 -1.47248e+00  2.92070e-01  4.14784e+00  3.13419e+00 -7.64483e+00 -5.64176e+00 -1.92014e+01 -5.02205e-02  9.33805e+00 -2.86144e+01 
 3.60000e-02 -1.44616e-03  8.03519e-05  3.12653e-01 -2.50891e-01 -6.78387e-01  1.71375e-01 -8.99357e-02 -9.95954e-01 -1.47344e+00  2.87097e-01  4.14617e+00  3.13639e+00 -7.64361e+00 -5.64340e+00 -1.92014e+01 -5.16565e-02  9.33914e+00 -2.86140e+01 
 3.70000e-02 -1.44499e-03  7.87803e-05  3.18849e-01 -2.43107e-01 -6.80071e-01  1.64166e-01 -8.36905e-02 -9.96483e-01 -1.47438e+00  2.82120e-01  4.14451e+00  3.13859e+00 -7.64239e+00 -5.64505e+00 -1.92014e+01 -5.30926e-02  9.34023e+00 -2.86137e+01 
 3.80000e-02 -1.44381e-03  7.72094e-05  3.24851e-01 -2.35175e-01 -6.81676e-01  1.56937e-01 -7.74421e-02 -9.96972e-01 -1.47531e+00  2.77140e-01  4.14284e+00  3.14080e+00 -7.64118e+00 -5.64670e+00 -1.92014e+01 -5.45287e-02  9.34132e+00 -2.86133e+01 
 3.90000e-02 -1.44264e-03  7.56392e-05  3.30655e-01 -2.27101e-01 -6.83203e-01  1.49691e-01 -7.11906e-02 -9.97422e-01 -1.47622e+00  2.72157e-01  4.14117e+00  3.14300e+00 -7.63996e+00 -5.64835e+00 -1.92014e+01 -5.59648e-02  9.34241e+00 -2.86130e+01 
 4.00000e-02 -1.44146e-03  7.40696e-05  3.36258e-01 -2.18889e-01 -6.84650e-01  1.42426e-01 -6.49364e-02 -9.97832e-01 -1.47711e+00  2.67171e-01  4.13950e+00  3.14520e+00 -7.63874e+00 -5.64999e+00 -1.92014e+01 -5.74008e-02  9.34350e+00 -2.86126e+01 
